SURQ_PER,LATQ_PER,GWQ_PER,PRECIP,ET,SURQ,LATQ,GWQ,scenario,sev,year
5.645876502,69.63916704,24.71495646,1947.647475,450.2748131,74.40089899,905.9752071,273.8912525,PER_10,HIGH,1987
6.156509706,68.02853005,25.81496024,1787.765152,453.5153182,72.97660606,790.8101919,260.2149646,PER_10,HIGH,1988
5.824856559,69.11066763,25.06447582,1848.208586,478.0672778,70.68631818,819.0206919,255.9793182,PER_10,HIGH,1989
6.107602507,69.30845018,24.58394731,2065.561111,507.7178434,82.66383333,928.0792727,279.3805152,PER_10,HIGH,1990
3.866635898,67.38301189,28.75035221,1389.120707,431.4717374,35.0990202,586.6342374,228.281803,PER_10,HIGH,1991
3.972578166,68.10044743,27.92697441,1511.386364,517.7634949,37.13983838,602.0109343,224.1527172,PER_10,HIGH,1992
4.222906886,66.56410553,29.21298758,1331.319192,452.0381111,36.65735354,532.4916515,217.6663788,PER_10,HIGH,1993
5.020591419,69.4069606,25.57244798,1861.179293,466.9407879,60.99692424,841.6659444,264.4573687,PER_10,HIGH,1994
8.480319045,69.13015833,22.38952262,2345.941919,497.8902222,128.8420202,1090.137146,292.4744293,PER_10,HIGH,1995
6.028773577,72.39211728,21.57910914,2592.225758,528.2091616,98.09616162,1249.10348,294.5302374,PER_10,HIGH,1996
4.874692619,69.66326315,25.46204424,1923.142424,506.3610859,61.14562626,862.851702,270.7530455,PER_10,HIGH,1997
6.817831747,69.96703819,23.21513006,2327.802525,496.6558081,104.7950404,1071.078086,290.4637222,PER_10,HIGH,1998
4.688426133,69.35733335,25.95424051,1723.143434,454.7882172,53.12462626,776.0882879,251.1348485,PER_10,HIGH,1999
3.387311971,64.62281231,31.98987572,1109.80202,461.8995859,22.57822727,409.1894192,200.9613939,PER_10,HIGH,2000
5.990422184,68.83777605,25.17180176,1877.494949,471.2267576,72.92313131,840.3451061,263.5116768,PER_10,HIGH,2001
6.266721496,65.98277354,27.75050496,1442.59798,378.7171414,61.96893939,621.5472374,235.8261768,PER_10,HIGH,2002
4.47374515,68.00379267,27.52246218,1550.223737,450.5021818,45.47644949,668.5797778,243.3588737,PER_10,HIGH,2003
4.236441816,66.97716806,28.78639012,1382.669697,524.1656818,34.06879798,538.4682879,217.4046263,PER_10,HIGH,2004
5.312739343,69.37618644,25.31107422,1843.514141,465.4079949,64.0344798,832.151904,260.3549596,PER_10,HIGH,2005
5.172653356,70.2817072,24.54563944,1936.868687,458.9240859,66.52412626,897.0436263,263.727,PER_10,HIGH,2006
5.394349608,69.43471139,25.170939,1855.023737,467.7495707,66.01105051,837.1724646,259.0050758,PER_10,HIGH,2007
4.690169931,69.30703942,26.00279065,1651.097475,462.0095354,50.73272222,736.5454646,241.699596,PER_10,HIGH,2008
4.537602028,69.43040051,26.03199747,1734.326768,504.5900253,51.74580303,750.8474646,246.4652121,PER_10,HIGH,2009
7.20550842,69.42188457,23.37260701,2270.985859,515.8288283,107.7433737,1032.696222,286.8722525,PER_10,HIGH,2010
6.834456728,68.79976065,24.36578262,1977.588384,493.0220909,88.01925758,875.2725808,263.0083687,PER_10,HIGH,2011
4.439304788,69.46165021,26.099045,1715.980303,436.3339192,51.20265152,780.9142222,254.7924545,PER_10,HIGH,2012
5.108954012,69.98630612,24.90473987,1912.977273,512.6156162,62.9555101,852.0764242,257.6279798,PER_10,HIGH,2013
4.300997867,68.11233566,27.58666648,1563.961616,457.7258889,44.69499495,679.0782475,247.4523889,PER_10,HIGH,2014
5.628631094,70.39528445,23.97608445,2167.564141,529.7488586,78.33012626,985.2032576,278.509202,PER_10,HIGH,2015
5.359628303,70.17718924,24.46318246,2078.118687,481.6993788,73.55832828,962.5608687,282.2572778,PER_10,HIGH,2016
