dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg
2014-02-03,1.264,1.264,0,1.667,1.667,0,15.26,15.26,0,3.657,3.657,0,0.0334860671589311,0.0334860671589311,0
2014-02-04,1.26,1.26,0,1.656,1.656,0,15.21,15.21,0,3.424,3.424,0,0.0314520870076426,0.0314520870076426,0
2014-02-05,1.245,1.245,0,1.71,1.71,0,15.89,15.89,0,3.18,3.18,0,0.0295626952253458,0.0295626952253458,0
2014-02-06,1.248,1.248,0,1.718,1.718,0,15.93,15.93,0,3.02,3.02,0,0.0280077754036087,0.0280077754036087,0
2014-02-07,1.26,1.26,0,1.655,1.655,0,15.2,15.2,0,2.895,2.895,0,0.0265928130511464,0.0265928130511464,0
2014-02-08,1.258,1.258,0,1.65,1.65,0,15.18,15.18,0,2.744,2.744,0,0.0252458340693635,0.0252458340693635,0
2014-02-09,1.254,1.254,0,1.732,1.732,0,15.98,15.98,0,2.601,2.601,0,0.0240065124933546,0.0240065124933546,0
2014-02-10,1.256,1.256,0,1.644,1.644,0,15.15,15.15,0,2.483,2.483,0,0.022880912361406,0.022880912361406,0
2014-02-11,1.247,1.247,0,1.714,1.714,0,15.9,15.9,0,2.355,2.355,0,0.0218580147910541,0.0218580147910541,0
2014-02-12,11.47,11.47,0,103,103,0,103.9,103.9,0,3.837,3.837,0,0.00387181536375085,0.00387181536375085,0
2014-02-13,59.1,59.1,0,253.5,253.5,0,49.65,49.65,0,8.022,8.022,0,0.00157101898853168,0.00157101898853168,0
2014-02-14,28.48,28.48,0,131.5,131.5,0,53.43,53.43,0,5.611,5.611,0,0.00228027140553475,0.00228027140553475,0
2014-02-15,11.83,11.83,0,39.21,39.21,0,38.37,38.37,0,3.109,3.109,0,0.00304174102251025,0.00304174102251025,0
2014-02-16,1.926,1.926,0,3.473,3.473,0,20.87,20.87,0,3.255,3.255,0,0.0195605457482405,0.0195605457482405,0
2014-02-17,18.15,18.15,0,71.05,71.05,0,45.31,45.31,0,10.96,10.96,0,0.00698908274665851,0.00698908274665851,0
2014-02-18,3.847,3.847,0,8.078,8.078,0,24.3,24.3,0,28.65,28.65,0,0.0861963145885683,0.0861963145885683,0
2014-02-19,1.497,1.497,0,2.116,2.116,0,16.36,16.36,0,30.98,30.98,0,0.239522254385314,0.239522254385314,0
2014-02-20,1.52,1.52,0,2.182,2.182,0,16.61,16.61,0,41.04,41.04,0,0.3125,0.3125,0
2014-02-21,3.841,3.841,0,8.064,8.064,0,24.3,24.3,0,77.92,77.92,0,0.234796108266559,0.234796108266559,0
2014-02-22,1.917,1.917,0,3.029,3.029,0,18.29,18.29,0,71.41,71.41,0,0.43114482505458,0.43114482505458,0
2014-02-23,1.731,1.731,0,2.696,2.696,0,18.02,18.02,0,52.82,52.82,0,0.353173074865738,0.353173074865738,0
2014-02-24,1.597,1.597,0,2.406,2.406,0,17.44,17.44,0,38.9,38.9,0,0.281923282079826,0.281923282079826,0
2014-02-25,1.507,1.507,0,2.142,2.142,0,16.45,16.45,0,29.02,29.02,0,0.22287964806213,0.22287964806213,0
2014-02-26,1.431,1.431,0,2.03,2.03,0,16.42,16.42,0,21.68,21.68,0,0.17535005305795,0.17535005305795,0
2014-02-27,1.402,1.402,0,1.949,1.949,0,16.09,16.09,0,16.77,16.77,0,0.138443097162783,0.138443097162783,0
