"Study_ID","Treatment.x","response","Climate.x","Ne","Xe","Treatment.y","Climate.y","Nc","Xc","lnR","percent_change","diff"
"12","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",86,0.0651901395348837,"Unburn","Other",52,0.0482710634615385,0.300475942416902,69.9524057583098,0.0169190760733453
"14","Burn","NO3_mg_per_L_as_Nitrate",NA,1,0.2190322581,"Unburn",NA,1,0.006774193548,3.47609869005442,-247.609869005442,0.212258064552
"16","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",31,0.215366529354839,"Unburn","Mediterranean",14,0.06726612,1.16368467196337,-16.3684671963374,0.148100409354839
"17","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",3,0.626236559133333,"Unburn","Mediterranean",1,0.1467741935,1.45083288257683,-45.083288257683,0.479462365633333
"18","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",44,0.230498533636364,"Unburn","Alpine tundra/subalpine",47,0.101633493404255,0.818871360442769,18.1128639557231,0.128865040232108
"2","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",309,0.0142076797669903,"Unburn","Mediterranean",66,0.004541983,1.14041894624159,-14.0418946241591,0.00966569676699029
"21","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",73,0.0806027397260274,"Unburn","Arid/Semi-arid",47,0.0297021276595745,0.998313958960678,0.168604103932202,0.0509006120664529
"22","Burn","NO3_mg_per_L_as_Nitrate",NA,99,0.251461988484849,"Unburn",NA,102,0.0689916837254902,1.29330586727594,-29.3305867275938,0.182470304759358
"26","Burn","NO3_mg_per_L_as_Nitrate",NA,56,0.0967542318126786,"Unburn",NA,55,0.0239830438813818,1.39482699490598,-39.4826994905977,0.0727711879312967
"27","Burn","NO3_mg_per_L_as_Nitrate",NA,10,0.17090164,"Unburn",NA,1,0.23360656,-0.312550146420934,131.255014642093,-0.06270492
"5","Burn","NO3_mg_per_L_as_Nitrate","Temperate",143,0.0834425896709301,"Unburn","Temperate",73,0.0294661953161662,1.04091516174573,-4.09151617457253,0.0539763943547639
"6","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",10,0.083999997,"Unburn","Other",6,0.023114095,1.29037415852106,-29.0374158521059,0.060885902
"8","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",8,0.782875,"Unburn","Boreal",8,0.298,0.965879554340172,3.41204456598275,0.484875
"9","Burn","NO3_mg_per_L_as_Nitrate","Mediterranean",12,0.00865591397891667,"Unburn","Mediterranean",1,0.006774193548,0.245122458138886,75.4877541861114,0.00188172043091667
"14","Burn","TN_mg_N_per_L",NA,1,1.6,"Unburn",NA,1,0.2,2.07944154167984,-107.944154167984,1.4
"19","Burn","TN_mg_N_per_L","Mediterranean",1,0.32,"Unburn","wet/dry tropics",3,0.25,0.246860077931526,75.3139922068474,0.07
"21","Burn","TN_mg_N_per_L","Mediterranean",80,0.30705,"Unburn","Arid/Semi-arid",46,0.373869565217391,-0.196896379706339,119.689637970634,-0.0668195652173914
"22","Burn","TN_mg_N_per_L",NA,4,0.29,"Unburn",NA,4,0.1225,0.861769892995738,13.8230107004262,0.1675
"24","Burn","TN_mg_N_per_L","Mediterranean",10,0.963349514,"Unburn","semi-arid",30,0.344174757,1.02926674592452,-2.92667459245162,0.619174757
"25","Burn","TN_mg_N_per_L",NA,56,0.788392857321429,"Unburn",NA,11,0.987662338181818,-0.225344360836267,122.534436083627,-0.19926948086039
"26","Burn","TN_mg_N_per_L",NA,55,0.731016042909091,"Unburn",NA,53,0.246762856603774,1.08600762531276,-8.60076253127575,0.484253186305317
"27","Burn","TN_mg_N_per_L",NA,10,1.199999999,"Unburn",NA,1,1.14754098,0.0447001812274307,95.5299818772569,0.052459019
"3","Burn","TN_mg_N_per_L","Temperate",22,0.464997936818182,NA,NA,NA,NA,NA,NA,NA
"1","Burn","NH4_mg_per_L_as_NH4","Temperate",20,0.0596784922357428,"Unburn","Temperate",8,0.0262888026607539,0.819828597249314,18.0171402750686,0.0333896895749889
"10","Burn","NH4_mg_per_L_as_NH4","Mediterranean",12,23.4625,"Unburn","Mediterranean",6,14.165,0.504629268630147,49.5370731369853,9.2975
