scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_60_MOD,313,8.91083180327869,160.874208463115,109.494282786885,1078.57144995826,586.360574885389,221.338386311475,17.3544994344262,1337.58817432582,769895867.803279,0.344257945214136,0.199270512296564,0.464059257580201,0.00898618602412642,1.11379454581538,109.4931250838,mean
base_unburned,313,8.17139010245902,136.005227581967,107.506352459016,403.700001447992,138.94265958459,105.215719344262,5.73147543647541,366.933314612705,706008104.852459,0.143033707561732,0.0540196680012061,0.358772501168337,0.00322164317059338,0.468438094494704,107.50483054595,mean
PER_60_MOD,313,0.05655,0.06937,12.6,0,0,0.03015,0,0.001897,4885920,0,0,0.00060911387315572,0,0.00012857525628124,12.6037959667853,min
base_unburned,313,0.05701,0.07043,12.72,0,0,0.03133,0,0.001929,4925664,0,0,0.00062678510141993,0,0.00013003287190167,12.7185439954142,min
PER_60_MOD,313,256.9,11100,500,153700,67390,8312,1190,58950,22196160000,17.1546305225187,7.52147398121361,19.7035563414874,0.140898100872572,16.7789289605962,500.086501448899,max
base_unburned,313,168.7,6456,442.9,28410,10150,1557,326.2,12890,14575680000,7.64340875045198,2.73074969437127,6.17586145762821,0.0877606453501386,5.47928709055877,442.929592307186,max
PER_60_MOD,313,4.903,43.745,104.15,0.3197,0.21945,37.535,0.06261,57.705,423619200,0.00100504808974629,0.00071797256585747,0.100430233015749,0.000881080209297245,0.169695105393347,104.151447336988,median
base_unburned,313,4.9315,44.285,105.4,0.012915,0.0065695,37.74,0.038685,45.49,426081600,2.67945832954148e-05,1.30715650675814e-05,0.0917137477915735,0.000390174390533115,0.137070691083568,105.431459936468,median
PER_60_MOD,313,16.8692257805078,593.05535190763,63.5424785007835,7946.10599853374,4233.71732779342,665.819970885479,85.1854496870448,4935.19775879767,1457501107.43587,1.22517216001668,0.641800420266352,1.45977720339653,0.0213121106855622,2.45694610580919,63.5408378333819,standard deviation
base_unburned,313,13.4178412678309,397.782346311215,59.8487035108096,1994.63687759174,672.769157602769,180.518748157987,23.4734121804365,982.865205563261,1159301485.54059,0.560042781951472,0.211863734810997,0.789959343318016,0.0083575179188179,0.780621495651088,59.846465458267,standard deviation
PER_60_MOD,313,35.1685,728.169999999999,239.595,3870.15,1924.55,989.535,85.8279999999998,7175.89999999999,3038558400,1.96757534369562,1.46786561158332,1.68906296757277,0.0567298665124752,5.68521052787312,239.620909784172,95% Quantile
base_unburned,313,32.4875,645.13,230.895,2520.65,813.574999999995,428.975,33.9224999999999,1464.9,2806920000,0.774532313424269,0.315008556908384,1.49756945896619,0.0148249401735648,2.3620372423599,230.880100837943,95% Quantile
PER_60_MOD,313,8.6585,99.09,133.1,56.7375,42.0525,140.675,3.161,571.9,748094400,0.0992536124796856,0.0574275935257553,0.356882892830966,0.0061616971600409,0.966253570759668,133.029331129047,75% Quantile
base_unburned,313,7.644,82.8375,127.875,7.83075,4.04175,118.7,0.6051,327.2,660441600,0.0208685186667428,0.0105802738668659,0.335659366304681,0.00260676015298204,0.516168918868779,127.865039965869,75% Quantile
PER_60_MOD,313,1.99725,12.18,70.89,0,0,7.216,0.00370975,1.998,172562400,0,0,0.0110318106648704,9.11515869226984e-06,0.00692052830754367,70.8811470620419,25% Quantile
base_unburned,313,1.9545,11.6675,70.665,0,0,7.84075,0,1.97575,168868800,0,0,0.0120178369860958,0,0.00608005118073774,70.6378500287904,25% Quantile
PER_60_MOD,313,0.16437,0.25363,19.133,0,0,0.094024,0,0.0123985,14201568,0,0,0.00144172880589728,0,0.000166500973763103,19.1346567021356,5% Quantile
base_unburned,313,0.171355,0.2749,20.114,0,0,0.09612,0,0.012562,14805072,0,0,0.00146426449114312,0,0.000168443594424316,20.1186253126011,5% Quantile
