scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
grass_fire,313,4.93471664480874,68.4277949819672,85.2357704918033,452.471540258123,201.19081522568,85.306428715847,10.3495573715847,492.812888923497,426359518.111475,0.316920207496332,0.14578284240243,0.377955443074738,0.0107830752804298,0.730139382724524,86.8984331037576,mean
grass_nofire,313,4.83800302459016,65.3594852021858,85.0922786885246,314.424275098899,114.065369961669,56.6513059016393,6.97520133879781,391.691257043716,418003461.32459,0.198994820264382,0.0758091514711083,0.321115772586592,0.006174266477661,0.611137674917481,86.9935866849608,mean
grass_fire,313,0,0,0,0,0,0,0,0,0,0,0,0.00203519067848336,0,0.00030785964121711,1.91206831831832,min
grass_nofire,313,0,0,0,0,0,0,0,0,0,0,0,0.00205324951042296,0,0.00030937875085733,2.54183504300073,min
grass_fire,313,106,3338,364.4,24330,14010,1918,402.2,48550,9158400000,7.44593108504399,3.59865455631585,15.7664977537232,0.192706665599317,9.14531759739014,364.474143955276,max
grass_nofire,313,88.07,2616,343.8,10980,4487,974.8,196.7,38620,7609248000,5.79231236706168,2.36704058205881,6.82151197723588,0.103765741584794,9.38923549217667,343.792185509002,max
grass_fire,313,2.808,20.53,82.23,0.023555,0.01287,18.59,0.03376,26.42,242611200,0.00012547533468771,8.82383845330888e-05,0.0741424823345727,0.00040713581588106,0.164943802533731,82.2903947903948,median
grass_nofire,313,2.8935,21.225,83.83,0.0034835,0.0017525,17.205,0.02827,22.555,249998400,3.88924951088383e-05,1.74194314010094e-05,0.0654354309971495,0.00016023249449971,0.124137761903545,84.5294786518226,median
grass_fire,313,8.5651454162052,214.971336555701,50.7346841703483,1889.91056492961,970.400326610793,209.184005593824,35.0647358515251,2694.07027912809,740028563.960129,0.835869768961057,0.410782395687132,1.16154200234808,0.0230251465409755,1.33573235001565,49.7971002764497,standard deviation
grass_nofire,313,7.92044459358017,184.79536130215,50.0101683827406,1128.91454986712,422.156496156553,102.891824094384,21.9747188720227,2150.44407708692,684326412.885327,0.613258554066399,0.242863615513402,0.825661721607305,0.0132064222628305,1.23195423924643,48.8979215483753,standard deviation
grass_fire,313,21.5875,358.9,192.45,2434.25,881.925,371.125,57.9175,2005.25,1865160000,1.76432822451474,0.756003350920924,1.26511641236547,0.0504566842038094,3.84875369144367,192.748093688284,95% Quantile
grass_nofire,313,20.72,341.625,190.825,1993.5,728.5,244.4,50.08,1613,1790208000,1.25156050866736,0.45560368625595,0.956146666039454,0.0308314572988634,3.33858921773359,191.730604250261,95% Quantile
grass_fire,313,4.42475,38.495,100.7,38.4675,21.165,59.855,2.67925,223.6,382298400,0.155048600804637,0.0814394116573668,0.290679734829801,0.0134545679057024,0.66355889527258,101.038918989811,75% Quantile
grass_nofire,313,4.3665,38.6425,99.4575,6.43375,3.18025,62.2075,0.5848,164.225,377265600,0.0308542569183762,0.0152202804683267,0.293658508196689,0.00578885801442846,0.526416711182336,100.861243178633,75% Quantile
grass_fire,313,1.13525,5.61025,56.275,0,0,3.96025,0,1.07575,98085600,0,0,0.0154567656198934,0,0.00798577380663198,58.8399740695657,25% Quantile
grass_nofire,313,1.1475,5.71475,56.1375,0,0,4.15325,0,0.96315,99144000,0,0,0.0147533626877821,0,0.00611098894220906,60.4223310642923,25% Quantile
grass_fire,313,0.047675,0.0449725,10.9175,0,0,0.0745125,0,0.00915425,4119120,0,0,0.00300201848347587,0,0.000378197355690491,16.4963728784462,5% Quantile
grass_nofire,313,0.05047,0.0506525,11.2625,0,0,0.074875,0,0.00920225,4360608,0,0,0.00302071103419057,0,0.000379544322592329,16.8056203771281,5% Quantile
