site,year,annual_yield
12480000,1968,606.092579285265
12480000,1969,606.246355526623
12480000,1970,472.988258372991
12480000,1971,777.053315614618
12480000,1972,1210.72428427763
12480500,1910,763.407585413127
12480500,1913,631.978063513513
12480500,1947,572.106755799228
12480500,1948,628.275131621622
12480500,1949,800.494526486487
12480500,1950,835.16511557529
12480500,1951,719.011132355212
12483500,1910,406.328432432432
12483500,1911,185.553607722008
12483500,1912,256.849374517375
12483500,1913,289.562579150579
12483800,1958,303.598552595761
12483800,1959,353.648752267993
12483800,1960,308.32847587567
12483800,1961,342.171892447432
12483800,1962,272.629787672565
12483800,1963,252.683918668926
12483800,1964,229.795439348907
12483800,1965,259.941904391545
12483800,1966,182.224371878559
12483800,1967,268.890701769395
12483800,1968,256.224565262076
12483800,1969,297.529843559901
12483800,1970,218.922052498542
12483800,1973,143.845393816838
12483800,1974,478.415429682509
12483800,1975,337.251684897642
12483800,1976,353.181196633427
12483800,1977,99.6844922974362
12484500,1909,551.652392654888
12484500,1910,667.190045082186
12484500,1911,402.716244023195
12484500,1912,495.229094771416
12484500,1913,595.12886938471
12484500,1914,497.935559375651
12484500,1932,608.761344041119
12484500,1933,767.848957238292
12484500,1934,684.605169961681
12484500,1935,543.422772782103
12484500,1936,532.94714878187
12484500,1937,422.065065859909
12484500,1938,498.593360056777
12484500,1939,399.768585835881
12484500,1940,372.452079172379
12484500,1941,298.927741419319
12484500,1942,328.094386575139
12484500,1943,470.658757798307
12484500,1944,311.66003658507
12484500,1945,391.25925252031
12484500,1946,548.915704776115
12484500,1947,579.585217073679
12484500,1948,616.001892439312
12484500,1949,702.631871690655
12484500,1950,717.580540322542
12484500,1951,652.828656157502
12484500,1952,400.515278500942
12484500,1953,478.306431482926
12484500,1954,619.601425175489
12484500,1955,601.223303803355
12484500,1956,815.901593301134
12484500,1957,531.900001211105
12484500,1958,480.041010396128
12484500,1959,747.380096403986
12484500,1960,514.686957441758
12484500,1961,603.455677826599
12484500,1962,517.733582037854
12484500,1963,455.671569306715
12484500,1964,471.887837629528
12484500,1965,596.202684550656
12484500,1966,396.376467728887
12484500,1967,494.670260499072
12484500,1968,562.819003676916
12484500,1969,550.663913793521
12484500,1970,399.068117002466
12484500,1971,605.974284038116
12484500,1972,918.823102755022
12484500,1973,407.858348987274
12484500,1974,686.702428169342
12484500,1975,721.63697785615
12484500,1976,634.235416184243
12484500,1977,437.078329333456
12484500,1978,536.364156644366
12484500,1979,332.713214060449
12484500,1980,541.812050033184
12484500,1981,481.969373834311
12484500,1982,572.643345741511
12484500,1983,571.524491970372
12484500,1984,581.898779108917
12484500,1985,451.709949889305
12484500,1986,448.408501605926
12484500,1987,357.36829472491
12484500,1988,372.381558198457
12484500,1989,460.842119705653
12484500,1990,634.285195695247
12484500,1991,554.610125267049
12484500,1992,421.298816958382
12484500,1993,350.88214296372
12484500,1994,338.93743077564
12484500,1995,621.232889387326
12484500,1996,782.856887192803
12484500,1997,773.613898703148
12484500,1998,525.049984929005
12484500,1999,638.232592395227
12484500,2000,514.446949085131
12484500,2001,316.366570827863
12484500,2002,503.800059862515
12484500,2003,493.664595854144
12484500,2004,429.113014959573
12484500,2005,354.223888946484
12484500,2006,499.879923370942
12484500,2007,575.038095788744
12484500,2008,457.693565634643
12484500,2009,579.901079923264
12484500,2010,441.56085577673
12484500,2011,683.395646366926
12484500,2012,630.267870634571
12484500,2013,560.84856469967
12484500,2014,587.63586775214
12484500,2015,494.579590675458
12484500,2016,612.159980893602
12484500,2017,559.176210175223
12484500,2018,569.010626664664
12484500,2019,418.434717235967
12484500,2020,496.159497536612
12484500,2021,524.759011834921
12484500,2022,573.734346691018
12484500,2023,419.365712614389
12489500,1905,508.613770194978
12489500,1906,730.861599033845
12489500,1907,655.284192050308
12489500,1908,699.634432143309
12489500,1909,679.185722007722
12489500,1910,849.592622254079
12489500,1911,528.582062378402
12489500,1912,580.71919958559
12494000,1910,842.733419807237
12494000,1911,496.706364296587
12494000,1917,675.551774880087
12494000,1918,566.630734772422
12494000,1919,538.0128992159
12494000,1920,377.522937038146
12494000,1921,828.396394150641
12494000,1922,453.59490204703
12494000,1923,586.707790726205
12494000,1924,458.265829114677
12494000,1925,522.019516443117
12494000,1926,306.937027568634
12494000,1927,621.022490909613
12494000,1928,526.7185513891
12494000,1929,309.640403152811
12494000,1930,304.205544106122
12494000,1931,293.409107266975
12494000,1932,518.819233724084
12494000,1933,855.974238208757
12494000,1934,760.821039221398
12494000,1935,565.622866563542
12494000,1936,467.975093373927
12494000,1937,304.208555664515
12494000,1938,429.035643351565
12494000,1939,181.470485649457
12494000,1940,214.004350969764
12494000,1941,151.708257903569
12494000,1942,162.792800495653
12494000,1943,427.405386408118
12494000,1944,121.905876045774
12494000,1945,198.567102646901
12494000,1946,459.762573636032
12494000,1947,414.36333086054
12494000,1948,488.571141224115
12494000,1949,518.30827265006
12494000,1950,718.819838166085
12494000,1951,543.552158953549
12494000,1952,293.457292201265
12494000,1953,375.106663354109
12494000,1954,530.755043488608
12494000,1955,438.452786446687
12494000,1956,756.884932401659
12494000,1957,375.895189726693
12494000,1958,454.548060278435
12494000,1959,498.412914052659
12494000,1960,366.807812275612
12494000,1961,492.651300920322
12494000,1962,346.403500309783
12494000,1963,316.954474636774
12494000,1964,341.832958521904
