"basin","sev","min","max"
"Humid, Forested Basin","UNBURN",0,0
"Humid, Forested Basin","LOW",1.38214002616828,67.3548631946752
"Humid, Forested Basin","MOD",1.97910851330229,93.5524510487872
"Humid, Forested Basin","HIGH",3.16581276747055,108.117816493438
"Semi-Arid, Mixed Land Use Basin","UNBURN",0,0
"Semi-Arid, Mixed Land Use Basin","LOW",7.23118198593746,75.0384140672285
"Semi-Arid, Mixed Land Use Basin","MOD",16.1601280518949,190.641119100513
"Semi-Arid, Mixed Land Use Basin","HIGH",24.2320996638834,288.129846270516
