"basin","sev","min","max","mean"
"Humid, Forested Basin","UNBURN",0,0,0
"Humid, Forested Basin","LOW",0.84869282666682,16.7755331466667,8.31327431400006
"Humid, Forested Basin","MOD",2.98902039666677,60.2914259199999,30.0738293768334
"Humid, Forested Basin","HIGH",4.57580616333348,86.92032232,42.8313047646667
"Semi-Arid, Mixed Land Use Basin","UNBURN",0,0,0
"Semi-Arid, Mixed Land Use Basin","LOW",-16.0246216833334,-0.532950596666694,-7.53753481733334
"Semi-Arid, Mixed Land Use Basin","MOD",-5.20474959000001,0.233188559999974,-1.48264918400001
"Semi-Arid, Mixed Land Use Basin","HIGH",0.479843883333331,8.73952204666665,5.68464957749999
