"basin","sev","min","max","mean"
"Humid, Forested Basin","UNBURN",0,0,0
"Humid, Forested Basin","LOW",0.00751251946666676,0.366102359,0.175372045193333
"Humid, Forested Basin","MOD",0.0107572973000001,0.508497403066667,0.243527483386667
"Humid, Forested Basin","HIGH",0.0172075403,0.587666365766667,0.289439442383333
"Semi-Arid, Mixed Land Use Basin","UNBURN",0,0,0
"Semi-Arid, Mixed Land Use Basin","LOW",0.0145355571,0.150836358,0.0795539163216667
"Semi-Arid, Mixed Land Use Basin","MOD",0.0324838269333333,0.383211884966667,0.194715934653333
"Semi-Arid, Mixed Land Use Basin","HIGH",0.0487094737,0.579176108733333,0.285734580555
