"metric","basin","sev","thresh"
"Annual Nitrate Load (10⁴ kg)","Humid, Forested Basin","LOW",84.8
"Annual Nitrate Load (10⁴ kg)","Humid, Forested Basin","MOD",25.7
"Annual Nitrate Load (10⁴ kg)","Humid, Forested Basin","HIGH",8.8
"Annual Nitrate Load (10⁴ kg)","Semi-Arid, Mixed Land Use Basin","LOW",93.5
"Annual Nitrate Load (10⁴ kg)","Semi-Arid, Mixed Land Use Basin","MOD",91.6
"Annual Nitrate Load (10⁴ kg)","Semi-Arid, Mixed Land Use Basin","HIGH",NA
