Column_or_Row_Name,Unit,Definition,Data_Type,header_count,files
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,,
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,,
Definition,N/A,Description of the information in a given column or row in the dataset.,text,,
ET,millimeters per year,The average basin evapotranspiration,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
F_stat,N/A,The F-statistic for the line of best fit for area burned and the response variable,numeric,7,"tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
File_Description,N/A,A brief description of the files in the data package.,text,,
File_Name,N/A,Name of files in the data package.,text,,
File_Path,N/A,File path within the data package.,text,,
GWQ,millimeters per year,The average depth of water contributing to streamflow from shallow groundwater flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
GWQ_PER,percent,The average percentage of water contributing to streamflow from shallow groundwater flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
LATQ,millimeters per year,The average depth of water contributing to streamflow from lateral flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
LATQ_PER,percent,The average percentage of water contributing to streamflow from lateral flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
Missing_Value_Codes,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. The recommendation for numeric data is ""-9999"" and for character data is ""N/A"".",text,,
PRECIP,millimeters per year,The average annual precipitation across the basin,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
SURQ,millimeters per year,The average depth of water contributing to streamflow from surface flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
SURQ_PER,percent,The average percentage of water contributing to streamflow from surface flow,numeric,2,"hru_summary_humid.csv, hru_summary_semi-arid.csv"
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,text,,
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,,
avg_doc_mgL,milligrams per liter,Average annual dissolved organic carbon (DOC) concentration,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
avg_nitrate_mgL,milligrams per liter,Average annual nitrate concentration,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
basin,N/A,The name of the test basin: humid or semi-arid,text,13,"avg_doc_mgL_perc_change.csv, avg_nitrate_mgL_perc_change.csv, flow_mm_yr_abs_change.csv, flow_mm_yr_perc_change.csv, flowpath_change.csv, table1-basin_summary.csv, tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
c1,N/A,The value of the first coefficient value in the line of best fit for area burned and the response variable,numeric,6,"thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
c2,N/A,The value of the second coefficient value in the line of best fit for area burned and the response variable,numeric,6,"thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
c3,N/A,The value of the third coefficient value in the line of best fit for area burned and the response variable,numeric,6,"thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
change,N/A,The type of parameter change used for the parameter.,text,1,calibration-parameters.csv
description,N/A,The description of the meaning of the parameter within the model.,text,1,calibration-parameters.csv
doc_kg_yr,kilograms per year,The annual load of dissolved organic carbon (DOC),numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
equation,N/A,The equation for the line of best fit for area burned and the response variable,text,1,tablea2-theshold_fits.csv
